LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	.
Multi_Headings	No
X_Columns	One
Time_Pref	Absolute
Operator	MOATS
Date	2019/09/19
Time	16:25:05.5012459754943847656
***End_of_Header***	
	
Channels	15															
Samples	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Date	2019/09/19	2019/09/19	2019/09/19	2019/09/19	2019/09/19	2019/09/19	2019/09/19	2019/09/19	2019/09/19	2019/09/19	2019/09/19	2019/09/19	2019/09/19	2019/09/19	2019/09/19	
Time	16:25:05.5012459754943847656	16:25:05.5012459754943847656	16:25:05.5012459754943847656	16:25:05.5012459754943847656	16:25:05.5012459754943847656	16:25:05.5012459754943847656	16:25:05.5012459754943847656	16:25:05.5012459754943847656	16:25:05.5012459754943847656	16:25:05.5012459754943847656	16:25:05.5012459754943847656	16:25:05.5012459754943847656	16:25:05.5012459754943847656	16:25:05.5012459754943847656	16:25:05.5012459754943847656	
X_Dimension	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	
X0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	
Delta_X	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	
***End_of_Header***																
X_Value	Untitled	Untitled 1	Untitled 2	Untitled 3	Untitled 4	Untitled 5	Untitled 6	Untitled 7	Untitled 8	Untitled 9	Untitled 10	Untitled 11	Untitled 12	Untitled 13	Untitled 14	Comment
0.000000	7.773081	0.060186	0.056011	12.179677	0.173685	0.089428	13.396099	0.085125	0.084865	8.774829	2.152420	2.151973	28.800000	7.730000	18.620871
1.599092	7.773153	0.067579	0.056016	12.180772	0.173914	0.089423	13.395950	0.084951	0.084866	8.774823	2.150921	2.151960	28.800000	7.730000	18.620871
7.599434	7.770565	0.057086	0.055874	12.189877	0.173148	0.089385	13.394217	0.085425	0.084873	8.775366	2.152025	2.151970	28.800000	7.730000	18.620871
13.599778	7.769915	0.064021	0.055841	12.197245	0.172943	0.089354	13.394364	0.084920	0.084872	8.775834	2.152420	2.151985	28.800000	7.730000	18.620871
19.599121	7.768347	0.067776	0.055755	12.201085	0.173685	0.089337	13.394413	0.084715	0.084872	8.775905	2.152104	2.151956	28.800000	7.730000	18.620871
25.599464	7.768836	0.061922	0.055783	12.201067	0.174947	0.089337	13.395966	0.084802	0.084866	8.775969	2.152104	2.151970	28.800000	7.730000	18.620871
31.599807	7.768277	0.053772	0.055753	12.205767	0.174474	0.089318	13.393788	0.085583	0.084874	8.775972	2.150921	2.151918	28.800000	7.730000	18.620871
37.599151	7.768295	0.056163	0.055756	12.208995	0.173827	0.089304	13.393841	0.084360	0.084874	8.776105	2.152104	2.151909	28.800000	7.730000	18.620871
43.599494	7.768113	0.066419	0.055747	12.211391	0.174553	0.089294	13.393948	0.084415	0.084874	8.776444	2.153367	2.151953	28.800000	7.730000	18.620871
49.599837	7.768107	0.054695	0.055745	12.208613	0.174616	0.089305	13.394844	0.084991	0.084870	8.776623	2.152183	2.152021	28.800000	7.730000	18.620871
55.599180	7.767940	0.045315	0.055735	12.206858	0.173764	0.089313	13.394340	0.085417	0.084872	8.776557	2.152183	2.152027	28.800000	7.730000	18.620871
